Word,SS,Lw,Ec,Ci,At,Li,EE,ME,Sp,Me,mean,,,
variable,0.730065227,0.60970062,0.412210196,0.504311621,0.582829595,0.364602625,0.673770964,0.603875875,0.321447968,0.402373701,0.520518839,,,
history,0.553400636,0.43561092,0.47651872,0.447235256,0.50130111,0.369841516,0.520182312,0.49349013,0.357882679,0.464182168,0.461964545,,,
case,0.500497222,0.362972975,0.21460551,0.386809915,0.341402918,0.327759027,0.403786689,0.420925766,0.278429836,0.285900325,0.352309018,,,
part,0.261180788,0.150610685,0.083663449,0.136821777,0.070838191,0.208197951,0.167425364,0.128038585,0.140890956,0.155116126,0.150278387,,,
including,0.430690765,0.261390507,0.235284328,0.234348804,0.348047197,0.381673038,0.383617193,0.402960986,0.311049581,0.370088995,0.335915139,,,
device,0.754846334,0.659867108,0.597440958,0.479059637,0.72291404,0.561221063,0.748060942,0.692502081,0.671407402,0.535456538,0.64227761,,,
form,0.385935575,0.296059251,0.272140622,0.318228871,0.410841137,0.383268774,0.323297262,0.374649078,0.309772938,0.305922121,0.338011563,,,
human,0.757891536,0.631598175,0.575681508,0.571380854,0.607428491,0.608847916,0.73617065,0.700778663,0.616092741,0.567899704,0.637377024,,,
include,0.498782575,0.355425119,0.408007175,0.321466237,0.428464472,0.446261317,0.507910609,0.439103931,0.36908856,0.40665856,0.418116856,,,
education,0.851054847,0.688783407,0.757475197,0.689105451,0.741353452,0.779174864,0.800287664,0.821077347,0.780763865,0.696942806,0.76060189,,,
based,0.471839309,0.311434746,0.24437815,0.226607651,0.350920796,0.361485302,0.29075551,0.332161009,0.154685333,0.282957196,0.3027225,,,
american,0.713870525,0.690760851,0.650730789,0.571698368,0.624675572,0.72008568,0.773496032,0.811182439,0.56927675,0.666917741,0.679269475,,,
college,0.886522949,0.756258845,0.818877339,0.724360704,0.819504857,0.799142122,0.784073114,0.738948584,0.789179981,0.787825882,0.790469438,,,
social,0.869429886,0.582119524,0.666176736,0.644733727,0.646606624,0.58794564,0.749041498,0.657984734,0.663722098,0.755986869,0.682374734,,,
however,0.358308822,0.214475617,0.215694189,0.21370694,0.289507359,0.291823536,0.288188368,0.303876817,0.291009992,0.252301008,0.271889265,,,
since,0.361401558,0.215021133,0.316444904,0.337781221,0.230877981,0.307399094,0.308459103,0.344793171,0.261813104,0.251916707,0.293590797,,,
instruction,0.619180977,0.625884056,0.298331589,0.322405636,0.620675385,0.342384368,0.909232616,0.786716938,0.304665029,0.365421444,0.519489804,,,
mathematics,0.853406429,0.663659334,0.491794705,0.485963762,0.70690757,0.647696972,0.782936752,0.769557595,0.602445722,0.703695476,0.670806432,,,
group,0.543239951,0.423333287,0.323037565,0.35405609,0.289431274,0.292179525,0.337636024,0.417298496,0.365267158,0.265068114,0.361054748,,,
see,0.47056815,0.257781416,0.348407298,0.365164667,0.319908768,0.396840304,0.358927667,0.434317142,0.218891814,0.25068298,0.342149021,,,
learning,0.832639515,0.524776638,0.639986038,0.392659783,0.617243588,0.602529347,0.848042011,0.852172911,0.616003275,0.648711324,0.657476443,,,
name,0.547673941,0.459125668,0.469744116,0.399456292,0.45168677,0.327428222,0.441952527,0.45426926,0.361780822,0.374160916,0.428727853,,,
analysis,0.837815106,0.573194981,0.49007079,0.550207555,0.543426156,0.58748877,0.699669361,0.678701222,0.545196593,0.693166971,0.619893751,,,
could,0.513552189,0.478296399,0.386315435,0.407905757,0.507735193,0.509599686,0.551654577,0.489258856,0.372719675,0.468560725,0.468559849,,,
woman,0.858101487,0.746237218,0.751509726,0.709387124,0.764476597,0.710230589,0.680932343,0.771584749,0.688401043,0.674276114,0.735513699,,,
national,0.756590366,0.686834216,0.57772094,0.571911454,0.631215215,0.588561356,0.741852522,0.768115342,0.571502149,0.619030297,0.651333386,,,
support,0.540860474,0.364785969,0.331503063,0.391235411,0.48330152,0.454167843,0.59173888,0.554866791,0.449584365,0.447407365,0.460945168,,,
area,0.710968256,0.562003016,0.553575933,0.462171763,0.572675586,0.614521801,0.586777747,0.594038606,0.586525202,0.601524413,0.584478232,,,
like,0.423549592,0.311625808,0.200500235,0.250347942,0.322871119,0.314739615,0.279004604,0.338640988,0.25195536,0.287100494,0.298033576,,,
institute,0.806571424,0.608250797,0.647738814,0.670110345,0.665945768,0.678808808,0.780608296,0.708673418,0.614641905,0.756252646,0.693760222,,,
well,0.429091662,0.247733474,0.238546684,0.227980569,0.261531293,0.311179936,0.320114344,0.346807808,0.251168489,0.281785905,0.291594017,,,
way,0.530260324,0.329183757,0.277293891,0.326250851,0.429666013,0.439207554,0.389503986,0.422095478,0.329664648,0.338152468,0.381127897,,,
early,0.563925803,0.449322045,0.452839494,0.462029636,0.478448063,0.462105572,0.515042901,0.46257323,0.444864869,0.492802203,0.478395382,,,
level,0.677675962,0.523734391,0.466782004,0.468420833,0.478975087,0.582665205,0.61511457,0.631250083,0.51828748,0.556892574,0.551979819,,,
element,0.524694741,0.356811464,0.292030901,0.197351873,0.256644696,0.185820356,0.51269877,0.524902821,0.205035895,0.346529365,0.340252088,,,
common,0.409834206,0.456236959,0.382715493,0.403669387,0.376993388,0.452774286,0.438688874,0.423369318,0.393315047,0.357957989,0.409555495,,,
service,0.760658443,0.574087858,0.473346323,0.443544894,0.605305791,0.581941068,0.672592103,0.648088634,0.578477561,0.565413475,0.590345615,,,
result,0.541914105,0.301350832,0.286132365,0.221408516,0.361290485,0.422390223,0.424349248,0.353583843,0.316453367,0.390613347,0.361948633,,,
control,0.499612242,0.406368136,0.367474645,0.361243159,0.395516604,0.394908071,0.5297876,0.564814925,0.332863152,0.350416213,0.420300475,,,
general,0.285298765,0.348038495,0.261471272,0.38352114,0.292121023,0.350537211,0.418356478,0.379776865,0.268341064,0.327055991,0.33145183,,,
file,0.793307126,0.596552193,0.464011788,0.451345026,0.683365703,0.568564057,0.787996471,0.714871466,0.376800656,0.600556254,0.603737074,,,
mathematical,0.824453831,0.604359686,0.622280538,0.507568061,0.675907135,0.658981264,0.775388539,0.695651054,0.583889186,0.694434822,0.664291412,,,
developed,0.549128652,0.48377198,0.393838108,0.407301396,0.401428133,0.442515105,0.566601217,0.543297648,0.381916106,0.489083946,0.465888229,,,
logic,0.832282066,0.71183008,0.528811038,0.321246564,0.705542326,0.581867635,0.889050007,0.783977389,0.595766068,0.614339232,0.656471241,,,
space,0.661265612,0.597835898,0.458687395,0.481476784,0.526310265,0.640777826,0.637924731,0.741745651,0.454817384,0.519690812,0.572053236,,,
architecture,0.697577,0.670301557,0.403109968,0.594940245,0.587512255,0.435157895,0.726787388,0.758135974,0.507467866,0.642287016,0.602327716,,,
management,0.782644033,0.650653362,0.587481141,0.673954189,0.742383599,0.683971822,0.757384539,0.732406437,0.562618494,0.684739053,0.685823667,,,
another,0.27704376,0.194765091,0.191229492,0.078962192,0.193212554,0.259698987,0.148855448,0.161214113,0.039672673,0.139661103,0.168431541,,,
international,0.657681942,0.611496508,0.519056618,0.54265517,0.499885947,0.558456898,0.640713632,0.6153633,0.526890039,0.592214823,0.576441488,,,
standard,0.617230892,0.461066008,0.432950437,0.439994097,0.381173372,0.431935042,0.643715382,0.598077238,0.386451155,0.417806298,0.481039992,,,
member,0.640914917,0.607766747,0.528768182,0.479437411,0.404186964,0.583733916,0.606568277,0.698119879,0.517461717,0.572396815,0.563935483,,,
within,0.502447069,0.287901253,0.217630863,0.313809842,0.406526536,0.406278163,0.355286837,0.338188827,0.329661846,0.339072734,0.349680397,,,
order,0.421769559,0.287806928,0.204419225,0.255891085,0.329303652,0.42483902,0.346130639,0.404647529,0.273908615,0.307153016,0.325586927,,,
project,0.725807548,0.539236069,0.597426653,0.462276131,0.574705958,0.528816879,0.619100213,0.633644938,0.537560165,0.561754942,0.57803295,,,
united,0.764562905,0.696138263,0.720322251,0.715038598,0.633930802,0.706813157,0.744354963,0.812006474,0.448056042,0.680056155,0.692127961,,,
several,0.348763436,0.291326702,0.225538537,0.270348608,0.284500629,0.405842513,0.338273555,0.373658955,0.256727695,0.331429154,0.312640978,,,
later,0.367298633,0.317439705,0.256499112,0.304989874,0.28140384,0.335437894,0.367016613,0.416682363,0.272396594,0.376167864,0.329533249,,,
access,0.763529778,0.60581857,0.476052493,0.500033975,0.587923527,0.580214143,0.700273097,0.674898148,0.551408231,0.641690016,0.608184198,,,
made,0.331278145,0.249117583,0.192748502,0.15405497,0.264986068,0.307468295,0.197177947,0.298343241,0.181586727,0.202529356,0.237929083,,,
digital,0.781212389,0.615329683,0.587798119,0.611381292,0.599444211,0.564219236,0.800671935,0.755926311,0.496309936,0.604250491,0.64165436,,,
