Word,Mean similarity all domains,Mean similarity except SS,Mean similarity except Lw,Mean similarity except Ec,Mean similarity except Ci,Mean similarity except At,Mean similarity except Li,Mean similarity except EE,Mean similarity except ME,Mean similarity except Sp,Mean similarity except Me
base,0.25500483587384226,0.25500483587384226,0.25070256408717895,0.2602584602104293,0.25168443140056396,0.263469681971603,0.2549049531420072,0.24161259747213787,0.249953240984016,0.2728457467423545,0.2682088356879022
together,0.2570835292339325,0.2570835292339325,0.2533926036622789,0.2601969126198027,0.2635120468007194,0.2537386483616299,0.2665181623564826,0.2578420175446404,0.2485574318303002,0.25876057147979736,0.2639927830961015
long,0.2580255463719368,0.2580255463719368,0.2652292831076516,0.27259068191051483,0.26275549166732365,0.2513567987415526,0.24207031892405617,0.2549993478589588,0.2520642363362842,0.2531864494085312,0.26277899410989547
initial,0.2586914300918579,0.2586914300918579,0.25260228912035626,0.26368289523654515,0.266927280359798,0.2653631849421395,0.2607269253995683,0.24911343389087254,0.24736224942737156,0.269705711139573,0.2646598004632526
following,0.26082691848278045,0.26082691848278045,0.2670300288332833,0.2601596746179793,0.2657826609081692,0.260013394885593,0.25279808044433594,0.257121076186498,0.2554519342051612,0.2664008422030343,0.26681194371647304
known,0.2654766947031021,0.2654766947031021,0.26691949367523193,0.2695503681898117,0.2685857911904653,0.2723199841048982,0.259194274743398,0.26390812463230556,0.2562922007507748,0.2732549210389455,0.2638260026772817
left,0.2664695009589195,0.2664695009589195,0.2742024064064026,0.28309226863914067,0.2766041573550966,0.2635307129886415,0.26284108062585193,0.2589324795537525,0.25652241210142773,0.26732471419705284,0.2655172695716222
named,0.26972456127405164,0.26972456127405164,0.2775052421622806,0.26817040476534104,0.268866338663631,0.2775595072242949,0.26658259332180023,0.26728340486685437,0.26683712502320606,0.2794099698464076,0.26843708256880444
may,0.27144715189933777,0.27144715189933777,0.2728508512179057,0.2835302948951721,0.2838709337843789,0.2646738092104594,0.2677432099978129,0.2686232924461365,0.2765410724613402,0.272732416788737,0.27061256766319275
however,0.27188926488161086,0.27188926488161086,0.2782685591114892,0.27813316219382817,0.2783539676003986,0.26993169883886975,0.2696743458509445,0.2700782534148958,0.26833509239885545,0.2697647396061156,0.27406573792298633
making,0.27189144790172576,0.27189144790172576,0.27509675920009613,0.2786761323610942,0.2753802123996947,0.2857534819179111,0.2650156319141388,0.26771678527196247,0.2627612120575375,0.28044601115915513,0.27524639003806645
extension,0.2739032253623009,0.2739032253623009,0.2849745237165027,0.28631637659337783,0.2902899963988198,0.27977132466104293,0.290727232893308,0.24046651356750065,0.2545818206336763,0.2896135167943107,0.27631405161486733
others,0.27531628757715226,0.27531628757715226,0.28160610298315686,0.27123117612467873,0.28582775758372414,0.2840929975112279,0.27519691818290287,0.26624763508637744,0.26688839826318955,0.2830275330278609,0.2768494503365623
described,0.27641783505678175,0.27641783505678175,0.2826988200346629,0.2901911536852519,0.28002097540431553,0.2787964526149962,0.28209658960501355,0.2668778250614802,0.25852656530009377,0.27824830181068844,0.27634457581573063
last,0.2770435079932213,0.2770435079932213,0.27466653287410736,0.27956414057148826,0.27483615775903064,0.28324773410956067,0.2810117585791482,0.27610864407486385,0.27250487440162235,0.28338447875446743,0.27735744416713715
done,0.2782035797834396,0.2782035797834396,0.2890712238020367,0.28732748495207894,0.28597578903039295,0.28253716561529374,0.27798205945226884,0.2703367968400319,0.26499854856067234,0.28858910004297894,0.26990017626020646
introduced,0.2810866191983223,0.2810866191983223,0.28630179001225364,0.2885199752118852,0.2865327050288518,0.28591975073019665,0.2841150578525331,0.2643914305501514,0.2655441115299861,0.28743433621194625,0.2899504105250041
return,0.2833367705345154,0.2833367705345154,0.28121480014589095,0.29157520996199715,0.29192789395650226,0.2891097681389915,0.2863856189780765,0.27154388030370075,0.2747810019387139,0.28518478406800163,0.28930136064688367
still,0.2835567072033882,0.2835567072033882,0.28545872535970473,0.2778153237369325,0.28089894023206496,0.28466183443864185,0.284840390086174,0.27992312610149384,0.2821100735002094,0.29082615342405105,0.2912070287598504
created,0.28410055935382844,0.28410055935382844,0.2869720657666524,0.3061425139506658,0.28470363550715977,0.28446266055107117,0.2872396442625258,0.27474884854422676,0.2689606381787194,0.29253651036156547,0.28863100707530975
supported,0.28606219291687013,0.28606219291687013,0.29432674911287093,0.3000170985857646,0.29180533687273663,0.28806523482004803,0.28925447662671405,0.26348134213023716,0.272290180126826,0.2869941724671258,0.29946405357784694
hand,0.28677374944090844,0.28677374944090844,0.28947151949008304,0.3058253526687622,0.2885315443078677,0.28469235946734744,0.29153597437673145,0.2742195948958397,0.2692207122842471,0.2835577353835106,0.2970559803975953
regular,0.28692316710948945,0.28692316710948945,0.29004296991560197,0.30418112211757237,0.27562738127178615,0.2870104710261027,0.2846721675660875,0.2787163621849484,0.2813737392425537,0.290089746316274,0.2998417218526204
point,0.2874192088842392,0.2874192088842392,0.2915077805519104,0.29777316417959,0.29742299682564205,0.2974501781993442,0.2818986276785533,0.28076480163468254,0.27328382929166156,0.29316173328293693,0.28641800085703534
additional,0.2882788687944412,0.2882788687944412,0.3051648802227444,0.30578845904933083,0.2896716329786513,0.29603855311870575,0.28957553373442757,0.27587775389353436,0.2788633273707496,0.2878398961491055,0.2860494289133284
end,0.28908255845308306,0.28908255845308306,0.28674223522345227,0.30503806471824646,0.293739409910308,0.2864351554049386,0.28649481303162044,0.28538303739494747,0.28539739549160004,0.28879598610930973,0.2877984295288722
set,0.2892421208322048,0.2892421208322048,0.2864510872297817,0.30469965355263817,0.2975066660179032,0.29021595501237446,0.2973369335134824,0.27245693984958863,0.27357280833853614,0.30868150459395516,0.2986172263820966
followed,0.28941690623760224,0.28941690623760224,0.2899392048517863,0.3021125727229648,0.29464638398753273,0.2902316583527459,0.2879638075828552,0.27263323134846157,0.28015494015481734,0.30337724917464787,0.29340091347694397
actually,0.2899571195244789,0.2899571195244789,0.28775963021649253,0.3055923018190596,0.2912830329603619,0.2882831543684006,0.2941334793965022,0.28143458399507737,0.29066695604059434,0.2951059258646435,0.290491768055492
second,0.29064780473709106,0.29064780473709106,0.298440620303154,0.29049992230203414,0.2901118000348409,0.28970815075768364,0.2910923295550876,0.29251252942615086,0.2838351395395067,0.2958544972870085,0.2861693600813548
came,0.29145246744155884,0.29145246744155884,0.2918347484535641,0.3053697894016902,0.30413443677955204,0.2898433572716183,0.2873564494980706,0.2814125186867184,0.2779278556505839,0.29568862583902145,0.2944364349047343
simply,0.29159151315689086,0.29159151315689086,0.2848579121960534,0.3015232202079561,0.29171496629714966,0.2903771334224277,0.3006538202365239,0.2811374068260193,0.28548130724165177,0.30252890785535175,0.29715297950638664
well,0.2915940165519714,0.2915940165519714,0.2964674101935493,0.29748816457059646,0.2986621773905224,0.29493431912528145,0.2894178032875061,0.28842509124014115,0.28545915087064105,0.2960857417848375,0.29268380668428207
current,0.292095410823822,0.292095410823822,0.3064371910360124,0.2918411095937093,0.3014029794269138,0.29535824060440063,0.2817541990015242,0.2792840268876817,0.2867431143919627,0.2988780554797914,0.2983145233657625
special,0.29322885870933535,0.29322885870933535,0.29533282584614223,0.2971552544169956,0.29144270883666146,0.28798675868246293,0.2989075117641025,0.2845614486270481,0.28502925568156773,0.30335374342070687,0.30816001693407696
since,0.29359079748392103,0.29359079748392103,0.3023207601573732,0.2910514523585637,0.288680750462744,0.3005588882499271,0.29205654230382705,0.2919387635257509,0.2879016449054082,0.29712165229850346,0.29822125203079647
shared,0.29463027603924274,0.29463027603924274,0.2798117916617129,0.31427468235294026,0.31769640122850734,0.3001091683076488,0.2817673008475039,0.28155194264319205,0.28219931531283593,0.3312321537070804,0.28400370023316807
next,0.29491467475891114,0.29491467475891114,0.2905879120031993,0.2989751034312778,0.3025775088204278,0.30472294986248016,0.29112037022908527,0.29028429918819004,0.29156697789827984,0.30255979465113747,0.2970716059207916
